Operation,Opcode,aluOp,memRead,memWrite,aluSrc,writeBackControl (2 bits),regWrt,branchZero,branchNeg,jump,jumpMem
Save PC,1111,000,0,0,0,00,1,0,0,0,0
Load,1110,000,1,0,0,01,1,0,0,0,0
Store,0011,000,0,1,0,00,0,0,0,0,0
Add,0100,100 (add),0,0,0,10,1,0,0,0,0
Increment,0101,100 (add),0,0,1,10,1,0,0,0,0
Negate,0110,010 (negate),0,0,0,10,1,0,0,0,0
Subtract,0111,001 (sub),0,0,0,10,1,0,0,0,0
Jump,1000,000,0,0,0,00,0,0,0,1,0
Branch if Zero,1001,001 (sub),0,0,0,00,0,1,0,0,0
JumpMem,1010,000,1,0,0,00,0,0,0,1,1
Branch if Negative,1011,001 (sub),0,0,0,00,0,0,1,0,0
Noop,0000,000,0,0,0,00,0,0,0,0,0
